Argentyna,Reprezentacje,Reprezentacje,5
Australia,Reprezentacje,Reprezentacje,3.5
Austria,Reprezentacje,Reprezentacje,3.5
Belgia,Reprezentacje,Reprezentacje,4.5
Brazylia,Reprezentacje,Reprezentacje,5
Bułgaria,Reprezentacje,Reprezentacje,3.5
Kamerun,Reprezentacje,Reprezentacje,4
Chile,Reprezentacje,Reprezentacje,4.5
Kolumbia,Reprezentacje,Reprezentacje,4
Wybrzeże Kości Słoniowej,Reprezentacje,Reprezentacje,4.5
Chorwacja,Reprezentacje,Reprezentacje,4.5
Dania,Reprezentacje,Reprezentacje,4
Ekwador,Reprezentacje,Reprezentacje,3.5
Egipt,Reprezentacje,Reprezentacje,3
Anglia,Reprezentacje,Reprezentacje,5
Finlandia,Reprezentacje,Reprezentacje,3.5
Francja,Reprezentacje,Reprezentacje,5
Niemcy,Reprezentacje,Reprezentacje,5
Grecja,Reprezentacje,Reprezentacje,4
Węgry,Reprezentacje,Reprezentacje,3.5
Irlandia,Reprezentacje,Reprezentacje,4
Włochy,Reprezentacje,Reprezentacje,5
Korea Połuniowa,Reprezentacje,Reprezentacje,4.5
Meksyk,Reprezentacje,Reprezentacje,4
Holandia,Reprezentacje,Reprezentacje,5
Nowa Zelandia,Reprezentacje,Reprezentacje,3
Irlandia Północna,Reprezentacje,Reprezentacje,3
Norwegia,Reprezentacje,Reprezentacje,4
Peru,Reprezentacje,Reprezentacje,4.5
Polska,Reprezentacje,Reprezentacje,4
Portugalia,Reprezentacje,Reprezentacje,5
Rumunia,Reprezentacje,Reprezentacje,3.5
Rosja,Reprezentacje,Reprezentacje,4.5
Szkocja,Reprezentacje,Reprezentacje,4
Słowenia,Reprezentacje,Reprezentacje,3
RPA,Reprezentacje,Reprezentacje,3.5
Hiszpania,Reprezentacje,Reprezentacje,5
Szwecja,Reprezentacje,Reprezentacje,4
Szwajcaria,Reprezentacje,Reprezentacje,4
Turcja,Reprezentacje,Reprezentacje,4
USA,Reprezentacje,Reprezentacje,4
Urugwaj,Reprezentacje,Reprezentacje,4.5
